dataset,target,model,mae,rmse,r2,mae_percent,mae_over_test_std,mae_over_train_std,mae_std,rmse_std,r2_std,mae_percent_std,mae_over_test_std_std,mae_over_train_std_std,n,mae_ci95,rmse_ci95,r2_ci95,mae_percent_ci95,mae_over_test_std_ci95,mae_over_train_std_ci95
hidden_rng,aea,random_forest,0.31699305527243177,0.41565807979806957,0.32046481710185726,4.279660551148056,0.6286922442803143,0.6285771173002148,0.004784754392031107,0.00795174949739916,0.00939691604079057,0.06354641195210897,0.004942472425472822,0.012014645507653542,5,0.005941057268832376,0.00987340107365543,0.011667812341993128,0.07890329193595924,0.006136890072824451,0.01491815277803402
hidden_rng,aea,test_mean_baseline,0.3990183235714956,0.5042413143823855,0.0,5.387096464863253,0.7912797311289855,0.7912509560525912,0.008787034294227992,0.008997406013976883,0.0,0.11940247163441442,0.004077153644559439,0.020841661593157545,5,0.010910544134124739,0.01117175512477715,0.0,0.14825775032499883,0.005062454895594731,0.02587834086296988
hidden_rng,aea,train_mean_baseline,0.3991133112160353,0.5042962469122159,-0.00021750216995111474,5.388377197054185,0.7914679144243664,0.7914393322879308,0.008773188772920175,0.009005031535598168,0.00022088316045574345,0.119121937998905,0.003920432254675816,0.02081870922484136,5,0.010893352648780462,0.011181223460441824,0.0002742626681473625,0.14790942180950156,0.0048678595880277805,0.025849841733558157
hidden_rng,aip,random_forest,0.29647394443749525,0.37573205628300393,0.18801737302009988,2.4735340196705984,0.7110196639929284,0.7105876805952105,0.0045333385757008685,0.005843270616500713,0.013491825222828095,0.040388072305985886,0.008090865773971561,0.013848077193816142,5,0.005628883301116109,0.007255378756270862,0.016752313649243157,0.05014841533919325,0.01004613674583954,0.017194658895908144
hidden_rng,aip,test_mean_baseline,0.3335471013710188,0.4170138699302033,0.0,2.7828706396466467,0.7997655076279695,0.7994854865581712,0.008864635019022089,0.007997128626368097,0.0,0.076974460845632,0.007365072263835853,0.025029787348501076,5,0.011006898160336087,0.009929746704366006,0.0,0.09557641681316671,0.00914494507417409,0.031078585833329897
hidden_rng,aip,train_mean_baseline,0.33370837075546467,0.4173126765701666,-0.00142503114961302,2.78420394645877,0.8002061272152472,0.799858202830361,0.007531686043442985,0.008125671347485177,0.0010314262511399647,0.065713804481703,0.006027795839639311,0.02175249392654489,5,0.009351823405916924,0.010089353573408231,0.0012806848428427707,0.08159446520993194,0.007484497082602577,0.027009288579736876
hidden_rng,energy,random_forest,2.0100070243491492,2.57094011571273,0.9538530742094737,2.58900040158689,0.16789508555552662,0.1678170685335021,0.04756511141946655,0.0473396901054386,0.0024233574528709197,0.05809896143857541,0.004770396970113798,0.00421312931324234,5,0.059059886420102466,0.058779988890046174,0.003008995704008602,0.072139388751308,0.005923230174930632,0.005231290988029973
hidden_rng,energy,test_mean_baseline,9.590568158132104,11.975007574609041,0.0,12.353603511965748,0.8009256008971667,0.8007651132985345,0.1639775046204124,0.24200700420853213,0.0,0.22129892711348206,0.0035065307479365186,0.017630837698496982,5,0.20360496400245787,0.30049138443888174,0.0,0.27477891063793003,0.004353932988307301,0.021891576428397456
hidden_rng,energy,train_mean_baseline,9.5917628521323,11.976626765204418,-0.0002735805573569726,12.35509832294095,0.8010303868343286,0.800863631734013,0.15874285224878143,0.24089261791600988,0.0003416696065078351,0.21175562095837305,0.003244923368386249,0.01722241701284433,5,0.1971052846094917,0.29910769109936514,0.0004242388496812262,0.2629293309612948,0.004029104523455303,0.02138445516690086
hidden_rng,gap,random_forest,0.3486308532956773,0.4347457224176926,0.3001661731328069,27.22248409196476,0.6707702163131299,0.6704350404537768,0.006507993724384995,0.00853603174971371,0.024347507639069354,0.5649725591033531,0.010518275214633188,0.015893575447053027,5,0.008080741508104894,0.010598883311143817,0.0302314236814236,0.7015060866116831,0.013060163657209025,0.019734480435341078
hidden_rng,gap,test_mean_baseline,0.42155071181840603,0.5198505741335618,0.0,32.91527974017413,0.8109284437844296,0.8106998563157829,0.010071143076469684,0.012804476640446805,0.0,0.7856193451298196,0.004376470965286295,0.024314538305247237,5,0.012504975778811529,0.01589885766028391,0.0,0.9754752571401165,0.005434106436780078,0.03019048684657192
hidden_rng,gap,train_mean_baseline,0.42168408214153474,0.5200026712776264,-0.0005893320515738278,32.92566293701442,0.8111890513009257,0.810955336148089,0.009965292536683521,0.012754681745395883,0.00034948109803368795,0.7758515826662855,0.004391338206135672,0.02411304420290643,5,0.012373544974368614,0.015837029131804847,0.0004339380974811515,0.96334697814614,0.005452566554495374,0.029940298873844955
hidden_rng,homo,random_forest,0.30858663965955,0.3844159867729278,0.10853808064547213,2.987879854708537,0.7578870679495969,0.7574915385343605,0.004289051431772714,0.005005115462450036,0.01638765554712006,0.04546352964895536,0.006069234131141872,0.013316618338677397,5,0.005325560749276498,0.006214671676577205,0.020347961907823224,0.05645042799637739,0.007535949517308379,0.016534765568955775
hidden_rng,homo,test_mean_baseline,0.33747385553698395,0.40718783262642877,0.0,3.267601749870797,0.8287081490327989,0.8284333528948334,0.008147796692170877,0.006536482987025062,0.0,0.08256464747777029,0.006968994801223112,0.02340049444311902,5,0.010116825817352314,0.008116115599860437,0.0,0.10251755029753278,0.008653149948347953,0.029055551490188184
hidden_rng,homo,train_mean_baseline,0.3377680425687629,0.40747720379662367,-0.0014193538367778201,3.270439500330787,0.8294620934389135,0.8291474076189992,0.007135758727675852,0.006588865556685008,0.0012616469551958475,0.07265921130175544,0.004562873980689383,0.020915742966807222,5,0.00886021471202342,0.008181157150740593,0.0015665416027100842,0.09021832681126996,0.005665556350162715,0.025970325037568163
hidden_rng,lumo,random_forest,0.3168336941906871,0.4010534859478619,0.24770462207149696,3.5019371987721657,0.6851757038816378,0.6850997907882698,0.005356003921052413,0.005986599560452904,0.013040980013582245,0.05832643491035209,0.0064844790401010115,0.013094329284745711,5,0.00665035724300899,0.007433345145876864,0.016192515384159938,0.07242183437175952,0.008051544171200345,0.016258757253494027
hidden_rng,lumo,test_mean_baseline,0.37857192961711,0.4623948689422649,0.0,4.184354344970171,0.8186698601622326,0.8186031582356446,0.006871391730009297,0.004671224575772303,0.0,0.07700227861734639,0.007091472886749573,0.01684477918980354,5,0.00853195972870764,0.005800091383261131,0.0,0.0956109571388147,0.00880522657771508,0.020915555877671067
hidden_rng,lumo,train_mean_baseline,0.3786272654255449,0.4625064749038906,-0.00048267428850642756,4.184960291278175,0.818790102997581,0.8187226798715523,0.006758942438546189,0.00467844796542467,0.0005799894725104969,0.075385658356192,0.0066612260995853306,0.01662164141035367,5,0.008392335491874375,0.005809060406137473,0.0007201520473534771,0.09360365796177254,0.008271004631750402,0.02063849373028903
with_ring_types,aea,random_forest,0.18744717670125222,0.2789581910543303,0.6938937414652393,2.5306878968530766,0.3717071237110556,0.37170912652748667,0.006207234221516518,0.012604998952101864,0.019166355548641892,0.08356636360471073,0.008879860398096694,0.01347099927539083,5,0.007707299261275443,0.015651173396221085,0.023798173661521635,0.10376134514877483,0.01102580296539203,0.01672645482008182
with_ring_types,aea,test_mean_baseline,0.3990183235714956,0.5042413143823855,0.0,5.387096464863253,0.7912797311289855,0.7912509560525912,0.008787034294227992,0.008997406013976883,0.0,0.11940247163441442,0.004077153644559439,0.020841661593157545,5,0.010910544134124739,0.01117175512477715,0.0,0.14825775032499883,0.005062454895594731,0.02587834086296988
with_ring_types,aea,train_mean_baseline,0.3991133112160353,0.5042962469122159,-0.00021750216995111474,5.388377197054185,0.7914679144243664,0.7914393322879308,0.008773188772920175,0.009005031535598168,0.00022088316045574345,0.119121937998905,0.003920432254675816,0.02081870922484136,5,0.010893352648780462,0.011181223460441824,0.0002742626681473625,0.14790942180950156,0.0048678595880277805,0.025849841733558157
with_ring_types,aip,random_forest,0.1569814088042444,0.2163871452814329,0.7306446242154487,1.309711733623407,0.37652855094421145,0.376240374883129,0.00109643443514245,0.005754466808700747,0.010795373703688408,0.010079451465431934,0.006062397585533897,0.004007052495065142,5,0.0013614031645072626,0.007145114265222238,0.013404226875025552,0.012515292006269028,0.0075274608247548795,0.004975412822034963
with_ring_types,aip,test_mean_baseline,0.3335471013710188,0.4170138699302033,0.0,2.7828706396466467,0.7997655076279695,0.7994854865581712,0.008864635019022089,0.007997128626368097,0.0,0.076974460845632,0.007365072263835853,0.025029787348501076,5,0.011006898160336087,0.009929746704366006,0.0,0.09557641681316671,0.00914494507417409,0.031078585833329897
with_ring_types,aip,train_mean_baseline,0.33370837075546467,0.4173126765701666,-0.00142503114961302,2.78420394645877,0.8002061272152472,0.799858202830361,0.007531686043442985,0.008125671347485177,0.0010314262511399647,0.065713804481703,0.006027795839639311,0.02175249392654489,5,0.009351823405916924,0.010089353573408231,0.0012806848428427707,0.08159446520993194,0.007484497082602577,0.027009288579736876
