dataset,target,feature,importance,importance_std,n,importance_ci95
hidden_rng,aea,pas_branch_donor_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_branch_heterocycle_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_branch_non_benzene_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_cyclobutadiene_branch_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_cyclobutadiene_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_cyclobutadiene_fraction,0.0,0.0,5,0.0
hidden_rng,aea,pas_cyclobutadiene_middle_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_cyclobutadiene_terminal_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_dhdiborinine_branch_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_dhdiborinine_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_dhdiborinine_fraction,0.0,0.0,5,0.0
hidden_rng,aea,pas_dhdiborinine_middle_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_dhdiborinine_terminal_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_donor_acceptor_balance,0.0,0.0,5,0.0
hidden_rng,aea,pas_donor_acceptor_ratio,0.0,0.0,5,0.0
hidden_rng,aea,pas_donor_fraction,0.0,0.0,5,0.0
hidden_rng,aea,pas_donor_ring_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_furan_branch_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_furan_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_furan_fraction,0.0,0.0,5,0.0
hidden_rng,aea,pas_furan_middle_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_furan_terminal_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_middle_acceptor_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_middle_donor_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_middle_heterocycle_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_middle_non_benzene_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_pyrazine_branch_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_pyrazine_count,0.0,0.0,5,0.0
hidden_rng,aea,pas_pyrazine_fraction,0.0,0.0,5,0.0
hidden_rng,aea,pas_pyrazine_middle_count,0.0,0.0,5,0.0
