dataset,target,feature,importance,importance_std,n,importance_ci95
with_ring_types,aip,pas_borole_middle_count,0.010211255973806213,0.002263903397739304,5,0.002811007344384076
with_ring_types,aip,atoms,0.00920077845818687,0.0005630501757438893,5,0.000699119132403491
with_ring_types,aip,pas_alternation_fraction,0.008954014120297503,0.0001319917130032097,5,0.00016388935809732945
with_ring_types,aip,pas_acceptor_fraction,0.008328069610806236,0.00044239367387366576,5,0.0005493042978820291
with_ring_types,aip,pas_borole_count,0.007955646920964963,0.0008447665857811186,5,0.0010489162564499288
with_ring_types,aip,borinine,0.007683290838373627,0.0015399015967421164,5,0.0019120403734511806
with_ring_types,aip,aromatic_ring_fraction,0.007098832038051282,0.0002568210568057161,5,0.0003188854602163021
with_ring_types,aip,pas_topology_length,0.006887832968734663,0.0009235662356762464,5,0.0011467589447957702
with_ring_types,aip,heterocycle_fraction,0.006534972913351503,0.0006475099028027476,5,0.0008039897347905917
with_ring_types,aip,pas_longest_l_run,0.006500667685415654,0.00032396698911787053,5,0.00040225814699413123
with_ring_types,aip,paper_lalas_longest_l,0.006492480621403504,0.00016084617235859173,5,0.00019971690146654115
with_ring_types,energy,rings,0.7633861055134875,0.039694616736177295,5,0.04928737652380804
with_ring_types,energy,atoms,0.1245805246127892,0.04140288363101274,5,0.05140847002644855
with_ring_types,energy,pas_cyclobutadiene_fraction,0.024158616065002997,0.0014640891499617893,5,0.0018179067876683093
with_ring_types,energy,b,0.018209843660477655,0.0004071356124213345,5,0.0005055256323302132
with_ring_types,energy,pas_cyclobutadiene_count,0.0141371082701374,0.0012223664616661063,5,0.0015177684280625286
with_ring_types,energy,borole,0.014054788625528744,0.0009775561072841484,5,0.0012137962246389457
with_ring_types,energy,cyclobutadiene,0.013972042856775498,0.0011829222562041667,5,0.0014687919782026858
with_ring_types,energy,aromatic_rings,0.00328008228877478,0.0007039604161175585,5,0.000874082304853715
with_ring_types,energy,c,0.002818193815052505,0.00031288967351636725,5,0.0003885038430150037
with_ring_types,energy,pas_pyrazine_fraction,0.002385334229081203,0.00024185496409910722,5,0.0003003026017087259
with_ring_types,energy,pyrrole,0.0022377137784572736,9.286577530097343e-05,5,0.00011530808985649925
with_ring_types,energy,pas_14diborinine_fraction,0.0016247505449572437,0.00011807391319815472,5,0.00014660812714518525
with_ring_types,energy,pas_thiophene_fraction,0.001447628302723838,7.403690307031092e-05,5,9.192895708090698e-05
with_ring_types,energy,aromatic_ring_fraction,0.0012118661769994067,0.0002142530826917108,5,0.0002660303392824718
with_ring_types,energy,pas_donor_acceptor_balance,0.0010752058089970394,0.0001250849955947407,5,0.00015531353574546627
with_ring_types,energy,n,0.0010329696716138274,4.6193846793043586e-05,5,5.7357236501462735e-05
with_ring_types,energy,pas_donor_acceptor_ratio,0.0009435116944604858,4.741217732491886e-05,5,5.8869993660804715e-05
with_ring_types,energy,heteroatom_density,0.000720267369294209,3.4313963370403147e-05,5,4.260641295271236e-05
with_ring_types,energy,pas_donor_fraction,0.0005321483207393953,6.72587140521931e-05,5,8.351272380408994e-05
with_ring_types,energy,pas_acceptor_fraction,0.0004254355828812277,1.8813334033033615e-05,5,2.335983955499951e-05
with_ring_types,gap,b,0.3300057889371494,0.0036548775544340377,5,0.004538129877183771
with_ring_types,gap,aromatic_ring_fraction,0.07562353711327632,0.0031993551009773394,5,0.003972524046353138
with_ring_types,gap,paper_lalas_longest_l,0.03931405912324046,0.0007175986916675213,5,0.0008910164606016864
with_ring_types,gap,pas_longest_l_run,0.038107101041841895,0.001239738462655212,5,0.0015393386162674614
with_ring_types,gap,borole,0.020202718403491655,0.0011971042639056391,5,0.0014864012665878527
with_ring_types,gap,pas_alternation_fraction,0.01875555577320446,0.0004056450137545397,5,0.0005036748096298836
with_ring_types,gap,heteroatom_density,0.018324507355948944,0.00048736228066222916,5,0.0006051401979807696
with_ring_types,gap,pas_cyclobutadiene_fraction,0.01709726645442137,0.0016040517629140575,5,0.0019916933252656687
with_ring_types,gap,paper_lalas_upper_a_ratio,0.015849199677172354,0.0006153099517818495,5,0.000764008214864018
with_ring_types,gap,pas_borole_fraction,0.014462408860782792,0.0010006838707812132,5,0.0012425131359322225
with_ring_types,gap,atoms,0.012308358391804223,0.0003431124698729744,5,0.0004260304011760468
with_ring_types,gap,pas_middle_non_benzene_count,0.012224553178652878,0.001050690333689387,5,0.001304604360602814
with_ring_types,gap,paper_lalas_lower_to_upper_a_ratio,0.011117806479522752,0.00035835062342852556,5,0.0004449510678450754
with_ring_types,gap,pas_cyclobutadiene_count,0.010745005916165637,0.0007911723382442055,5,0.000982370208772523
with_ring_types,gap,cyclobutadiene,0.010235208004427364,0.0006573181601248857,5,0.0008161682947926092
with_ring_types,gap,pas_benzene_fraction,0.009405761316725126,0.0004810450929762804,5,0.0005972963734612309
with_ring_types,gap,pas_acceptor_fraction,0.009310093314729123,0.00024400451873327067,5,0.0003029716263101387
with_ring_types,gap,pas_dhdiborinine_fraction,0.008915284913521577,0.0004770598210856578,5,0.0005923480048315914
with_ring_types,gap,pas_branch_density,0.008698512769218186,0.00046087690560131023,5,0.0005722542612887027
with_ring_types,gap,pas_14diborinine_fraction,0.008395375628779072,0.0013154050905666392,5,0.001633291144010561
with_ring_types,homo,14diborinine,0.45953773670955156,0.015962051681677365,5,0.01981950491060667
with_ring_types,homo,pyrrole,0.07324775252508828,0.0016076519697849616,5,0.0019961635725233564
with_ring_types,homo,pas_cyclobutadiene_fraction,0.05760811549187121,0.001107777614932168,5,0.0013754875824773082
with_ring_types,homo,pas_borole_fraction,0.051282113724237646,0.002525682847979367,5,0.0031360494632167364
with_ring_types,homo,pas_14diborinine_fraction,0.040786174623608694,0.01382717758360004,5,0.01716870860232632
with_ring_types,homo,aromatic_ring_fraction,0.023557310075910127,0.0034547645317982525,5,0.004289656741405182
with_ring_types,homo,heteroatom_density,0.013641386970799729,0.0003980364223227172,5,0.0004942274955719479
with_ring_types,homo,pas_alternation_fraction,0.01084880364596193,0.0002707913091210183,5,0.00033623181956203563
with_ring_types,homo,pas_dhdiborinine_fraction,0.010089779513223169,0.0009593486756214469,5,0.001191188712243614
with_ring_types,homo,paper_lalas_upper_a_ratio,0.009582220186266263,0.0004689437806321245,5,0.0005822706095924737
with_ring_types,homo,n,0.0077152658045150785,0.00031965293323943275,5,0.0003969015391236357
with_ring_types,homo,pas_branch_density,0.0071943745549326605,0.0005638921801231549,5,0.0007001646189275549
