property,bin_midpoint,bin,borinine__B_1,borinine__B_2,borinine__B_3,borinine__B_4,14diborinine__B_1_4,dhdiborinine__B_1_4,borole__B_1,borole__B_2,borole__B_3,pyridine__N_1,pyridine__N_2,pyridine__N_3,pyridine__N_4,pyrazine__N_1_4,pyrrole__N_1,pyrrole__N_2,pyrrole__N_3,thiophene__S_1,thiophene__S_2,thiophene__S_3,furan__O_1,furan__O_2,furan__O_3,cyclobutadiene__none_none
homo,-11.0305,"(-11.07, -10.991]",0.006300473405736563,0.0012531328320802004,0.0003132832080200501,0.006613756613756613,0.0024018379281537175,0.2095168476747424,0.07027986633249791,0.003968253968253968,0.04490392648287385,0.09663046505151768,0.03164160401002506,0.010373155109997215,0.0776246170983013,0.1525689223057644,0.008771929824561403,0.0001392369813422445,0.005639097744360902,0.05391952102478418,0.002018936229462545,0.03070175438596491,0.09537733221943748,0.004699248120300752,0.05611250348092453,0.02823029796714007
homo,-10.9515,"(-10.991, -10.912]",0.009739308728763914,0.0025080550673696545,0.0006590509666080844,0.008604276508494435,0.001739162272993556,0.18186145284124194,0.07428968951376684,0.003588166373755126,0.04582234915055653,0.08620752782659637,0.02714923842999414,0.00926332747510252,0.07172671353251318,0.16721587580550673,0.015670767428236674,0.0001830697129466901,0.009537932044522555,0.059314586994727594,0.003038957234915056,0.03906707674282367,0.08373608670181605,0.005125951962507323,0.054518160515524314,0.03943321616871705
homo,-10.873000000000001,"(-10.912, -10.834]",0.017094017094017096,0.00412822934069393,0.0010774557516767147,0.01398271228299557,0.0024696738577758407,0.15880971405050726,0.07360596595724074,0.0035834483426551416,0.04949032711072371,0.07571245248299073,0.022323914675189464,0.007203215418512869,0.06573690709668047,0.16361589307764945,0.024381976223335995,0.0006174184644439602,0.01533861165589211,0.06407835161376238,0.003849785719474105,0.04280768020144791,0.07889639476041742,0.0057625723348102955,0.055628193021960724,0.04980508946514612
homo,-10.7945,"(-10.834, -10.755]",0.025464297809631033,0.006379804303850766,0.001986251842088402,0.02097005977061995,0.0038992778098140978,0.13728020796148319,0.07727160392124557,0.004064036027130186,0.05166085436288913,0.06669046507583455,0.0187092108996714,0.00594044905767453,0.058663078598822894,0.1568315164163257,0.033436764880870655,0.0011258478183266056,0.02407300619673962,0.066919295933218,0.004549157444783114,0.04475016246990874,0.07255768825914637,0.005711618200291073,0.05087367621349004,0.060191668726144384
homo,-10.716000000000001,"(-10.755, -10.677]",0.03400449101796407,0.009124251497005988,0.0025074850299401197,0.028652694610778445,0.006422155688622755,0.12184131736526946,0.07593562874251497,0.00469311377245509,0.05220059880239521,0.06008982035928144,0.01631736526946108,0.0053368263473053896,0.05499251497005988,0.14553892215568862,0.04350299401197605,0.001841317365269461,0.031339820359281435,0.0655314371257485,0.005606287425149701,0.044880239520958085,0.06639221556886228,0.005995508982035928,0.04672904191616766,0.07052395209580839
homo,-10.6375,"(-10.677, -10.598]",0.04177526349462909,0.01215611004478567,0.0036367309829275682,0.03724281913998047,0.01144896790921642,0.11277906859278715,0.071609926928646,0.005468565848402196,0.04865811361416978,0.053069333602720814,0.013940802101222345,0.004444893423578139,0.04955382698589083,0.13136007004074485,0.05232851803212446,0.0027679563592282047,0.03743812506313769,0.0650436070983601,0.006088157052900966,0.043573424925076605,0.0618042226487524,0.006566319830285887,0.044213220190591644,0.08303195608984072
homo,-10.559000000000001,"(-10.598, -10.52]",0.049815341926827204,0.013723970376546145,0.004533404547734275,0.043477694477192935,0.018843591029590885,0.10204719690998977,0.06871755456694914,0.006572133891758453,0.0477700990705218,0.04656509929849473,0.013046565099298494,0.003849485758205397,0.042409478463071644,0.11478111341978935,0.05881050238720225,0.003419593947644388,0.042174992020947454,0.06294658268578165,0.006357187986477948,0.043099910764881746,0.05978101571710513,0.006591674428602135,0.0428979918841637,0.09776781934122337
homo,-10.481,"(-10.52, -10.442]",0.054634473507712944,0.016177062374245474,0.0048356807511737085,0.04839704896042924,0.028430583501006038,0.09226693494299128,0.06575452716297786,0.007209926224010731,0.0456673373574782,0.04391012743125419,0.011160295103957076,0.0034339369550637155,0.039275653923541244,0.10238095238095238,0.06476861167002013,0.005224681421864521,0.045700871898054996,0.06132126089872569,0.0069081153588195846,0.040757880617035544,0.054755197853789406,0.006358148893360161,0.03987256874580818,0.1107981220657277
homo,-10.4025,"(-10.442, -10.363]",0.058923893805309734,0.01576637168141593,0.004899115044247788,0.05207787610619469,0.043044247787610616,0.08370265486725664,0.06298761061946903,0.00727787610619469,0.044835398230088495,0.03924247787610619,0.010279646017699115,0.002952212389380531,0.03648141592920354,0.09095929203539822,0.06736991150442478,0.006541592920353982,0.04790088495575221,0.05794690265486726,0.007129203539823009,0.04041061946902655,0.051879646017699114,0.006350442477876106,0.03816637168141593,0.12287433628318584
homo,-10.324,"(-10.363, -10.285]",0.059731965239241964,0.015578024739369102,0.005309840405641892,0.0521635729990876,0.062274705715183155,0.07834632125282319,0.05926828903480563,0.007934846014628237,0.041087694631826134,0.03769238823159878,0.01015600460684745,0.0027970145235353067,0.03511973316182299,0.08572774728151128,0.06724052829172712,0.007530998997861107,0.047018262859536024,0.05456421915431443,0.006379287135228922,0.03769238823159878,0.051707375443109924,0.006147449033010754,0.0365556336658839,0.1319757093498063
